date,open,high,low,close,volume,Name
09-05-2021,45.61763,47.121216,43.296944,44.330196,510603312,SOL-USD
10-05-2021,44.342094,45.877502,39.558849,42.909634,499528076,SOL-USD
11-05-2021,42.872272,45.151203,39.76297,44.577469,473731333,SOL-USD
12-05-2021,44.591526,48.979034,42.45731,42.45731,1151668076,SOL-USD
13-05-2021,43.235085,45.417099,37.526894,40.997852,1016860656,SOL-USD
14-05-2021,41.034519,44.791435,39.986053,42.717865,504167711,SOL-USD
15-05-2021,42.699947,45.391788,39.374607,43.461308,500445722,SOL-USD
16-05-2021,43.401691,52.50135,41.915497,47.200829,1990976771,SOL-USD
17-05-2021,46.898022,51.87603,43.302917,46.863205,1951921366,SOL-USD
18-05-2021,46.660419,58.302925,46.187557,55.910961,2025388219,SOL-USD
19-05-2021,56.089256,57.525772,29.429859,35.107182,2772224999,SOL-USD
20-05-2021,35.043045,51.25845,32.318142,44.742748,2487748626,SOL-USD
21-05-2021,44.447254,47.645592,33.837395,38.812851,1769762028,SOL-USD
22-05-2021,38.98838,40.009579,31.254862,31.315582,1078751751,SOL-USD
23-05-2021,31.225767,32.436268,19.139839,24.688747,1925832341,SOL-USD
24-05-2021,24.49832,32.094452,24.49832,31.283571,1346786023,SOL-USD
25-05-2021,31.396347,33.130127,26.100075,29.997078,909470305,SOL-USD
26-05-2021,30.047991,37.237637,29.008554,35.539818,1069991365,SOL-USD
27-05-2021,35.482449,35.52705,31.127129,33.584591,649389058,SOL-USD
28-05-2021,33.675526,34.502506,28.067144,29.039276,600255582,SOL-USD
29-05-2021,29.00313,30.022339,25.75094,27.376421,376859866,SOL-USD
30-05-2021,27.408316,29.749254,25.650293,28.602659,359661704,SOL-USD
31-05-2021,28.60424,32.983589,27.524746,32.816246,534826504,SOL-USD
01-06-2021,32.770885,33.289917,29.880173,30.98526,432053117,SOL-USD
02-06-2021,30.935238,35.038155,30.432858,33.956318,497567418,SOL-USD
03-06-2021,34.018715,41.145378,33.792233,39.470905,960056106,SOL-USD
04-06-2021,39.581303,39.609863,34.310902,37.41507,1056279506,SOL-USD
05-06-2021,37.417377,42.822674,37.09911,39.5854,1112426664,SOL-USD
06-06-2021,39.749126,43.377193,38.963997,42.308376,794387364,SOL-USD
07-06-2021,42.253677,44.100559,38.090839,38.262333,923157614,SOL-USD
08-06-2021,38.25127,42.478291,33.685459,41.517815,1786996802,SOL-USD
09-06-2021,41.279793,43.997566,39.368633,42.031776,1218831041,SOL-USD
10-06-2021,42.024036,43.00491,39.596783,41.098675,595246689,SOL-USD
11-06-2021,41.110153,41.312485,35.311172,36.046085,518666603,SOL-USD
12-06-2021,36.164352,37.614223,34.318157,36.441689,549070417,SOL-USD
13-06-2021,36.514709,39.359974,34.78299,38.770435,452988674,SOL-USD
14-06-2021,38.704521,40.476521,36.814133,38.713055,477871463,SOL-USD
15-06-2021,40.535839,41.758675,39.435814,41.153648,605285143,SOL-USD
16-06-2021,39.545349,41.496307,37.503498,39.703617,576016902,SOL-USD
17-06-2021,39.68927,41.237431,38.286083,39.264591,417775600,SOL-USD
18-06-2021,39.266785,39.427128,35.004017,36.648796,424163369,SOL-USD
19-06-2021,36.819107,37.354588,34.981606,35.353436,264640750,SOL-USD
20-06-2021,35.237026,35.928387,31.362095,35.322014,452587531,SOL-USD
21-06-2021,35.261436,35.497616,25.94908,26.6574,760344541,SOL-USD
22-06-2021,26.592831,28.712969,20.380444,26.771856,1258580061,SOL-USD
23-06-2021,26.912943,32.772961,25.696486,30.048887,1111302687,SOL-USD
24-06-2021,30.846079,32.99131,28.548386,31.181034,641150364,SOL-USD
25-06-2021,31.168531,32.902515,28.03508,28.698862,632052177,SOL-USD
26-06-2021,28.607899,30.007036,26.710814,29.712854,560342710,SOL-USD
27-06-2021,29.75264,31.929392,29.271196,31.929392,497353288,SOL-USD
28-06-2021,31.880831,34.243225,31.035128,32.92778,473612135,SOL-USD
29-06-2021,33.009785,35.788578,32.726685,33.866802,471854279,SOL-USD
30-06-2021,33.962971,35.954723,31.601351,35.556404,570984168,SOL-USD
01-07-2021,35.505653,35.538193,32.386272,33.404034,474665321,SOL-USD
02-07-2021,33.306309,34.031788,31.479923,34.020481,440298780,SOL-USD
03-07-2021,34.015575,35.40477,33.298473,34.478817,327019964,SOL-USD
04-07-2021,34.495117,35.502373,33.555737,34.3106,303420520,SOL-USD
05-07-2021,34.282551,34.461823,32.482693,32.984589,313839322,SOL-USD
06-07-2021,32.930305,34.978317,32.930305,34.269138,365336040,SOL-USD
07-07-2021,34.232807,38.011703,33.84203,36.59137,519252659,SOL-USD
08-07-2021,36.719719,36.915283,32.802273,33.203728,498201257,SOL-USD
09-07-2021,33.134331,34.387947,31.991049,33.264648,327170629,SOL-USD
10-07-2021,33.318439,34.140488,31.186785,31.788645,296566657,SOL-USD
11-07-2021,31.693039,32.536335,31.411757,32.177841,211679810,SOL-USD
12-07-2021,32.173389,32.644054,30.074202,30.848087,221058993,SOL-USD
13-07-2021,30.786404,31.093704,28.918608,29.121189,197825362,SOL-USD
14-07-2021,29.142693,31.435339,27.515703,31.281,331866434,SOL-USD
15-07-2021,31.360701,31.483404,28.008404,28.452101,329918376,SOL-USD
16-07-2021,28.549067,29.442204,26.228809,26.370008,374718328,SOL-USD
17-07-2021,26.254124,27.696987,26.04067,26.721668,289689475,SOL-USD
18-07-2021,26.78417,27.733564,26.360977,26.751909,230336396,SOL-USD
19-07-2021,26.67124,26.721746,24.012245,24.447577,361915410,SOL-USD
20-07-2021,24.510302,24.975603,22.177542,23.489555,413439963,SOL-USD
21-07-2021,23.443457,27.416498,22.86537,26.623079,555770206,SOL-USD
22-07-2021,26.665323,28.13599,25.952209,27.702082,364666998,SOL-USD
23-07-2021,27.706509,28.690611,26.425711,28.51388,407955237,SOL-USD
24-07-2021,28.5179,29.507799,28.068638,28.70262,353750758,SOL-USD
25-07-2021,28.649401,28.872978,26.528553,28.168774,309208018,SOL-USD
26-07-2021,28.227026,31.054016,27.903797,28.306643,743673802,SOL-USD
27-07-2021,28.210499,28.952671,27.00543,28.065327,375599550,SOL-USD
28-07-2021,28.145641,28.746954,27.412333,27.815411,315682626,SOL-USD
29-07-2021,27.877975,31.886148,27.372438,31.281137,448009571,SOL-USD
30-07-2021,31.275415,33.055126,30.067673,32.393944,617830199,SOL-USD
31-07-2021,32.353287,36.868259,31.68322,36.827312,587168181,SOL-USD
01-08-2021,36.679127,36.719913,33.283005,34.25436,490639931,SOL-USD
02-08-2021,34.190563,35.912395,33.060654,33.22242,407399691,SOL-USD
03-08-2021,33.191425,35.833092,32.40266,33.996441,474629269,SOL-USD
04-08-2021,34.108356,36.652477,33.273182,35.763626,413657602,SOL-USD
05-08-2021,35.771976,38.208866,35.533855,37.355137,595137193,SOL-USD
06-08-2021,37.355358,40.388084,35.688293,39.446102,589190671,SOL-USD
07-08-2021,39.492302,40.505878,37.626602,39.403473,534979916,SOL-USD
08-08-2021,39.465904,39.533291,36.935577,37.673824,358570315,SOL-USD
09-08-2021,37.660496,40.004841,36.481171,38.767784,377034585,SOL-USD
10-08-2021,38.67881,41.660908,38.223171,40.639797,452480699,SOL-USD
11-08-2021,40.648941,43.73914,40.628239,41.744114,507980107,SOL-USD
12-08-2021,41.704514,43.401909,39.381557,41.099361,527833804,SOL-USD
13-08-2021,41.114368,44.900524,40.721619,44.894501,541894525,SOL-USD
14-08-2021,44.851425,44.871239,42.93766,44.11285,363834257,SOL-USD
15-08-2021,44.149956,54.629551,43.450008,53.745159,1448656564,SOL-USD
16-08-2021,53.541149,68.822372,52.465851,62.432465,3799339365,SOL-USD
17-08-2021,62.11533,74.889259,58.981335,64.210709,4043742154,SOL-USD
18-08-2021,64.16835,80.119904,60.269714,72.543312,4507409622,SOL-USD
19-08-2021,72.838562,75.092422,68.610497,72.757607,2467398203,SOL-USD
20-08-2021,72.748901,79.990005,70.937286,78.724617,1844455899,SOL-USD
21-08-2021,78.698929,81.813774,72.69693,73.75621,1513097171,SOL-USD
22-08-2021,73.86834,77.481155,71.553947,72.803917,968933849,SOL-USD
23-08-2021,72.769409,76.70533,71.680748,75.708038,1372134245,SOL-USD
24-08-2021,75.780174,79.370949,68.619789,70.670906,2153611667,SOL-USD
25-08-2021,70.679962,72.702866,66.222763,71.951569,1551240766,SOL-USD
26-08-2021,71.973434,78.055206,66.264557,75.316208,2713050538,SOL-USD
27-08-2021,74.811783,88.854279,72.715126,88.086983,3263988286,SOL-USD
28-08-2021,88.000015,97.842949,85.790642,96.703171,2580080503,SOL-USD
29-08-2021,96.563972,97.777878,90.993622,94.469673,1830344091,SOL-USD
30-08-2021,94.344872,116.850227,94.03772,110.544807,5274104165,SOL-USD
31-08-2021,109.756149,130.014618,103.351303,108.483772,7590894022,SOL-USD
01-09-2021,107.444481,119.530113,106.270821,111.033005,3974443896,SOL-USD
02-09-2021,110.731239,131.961884,109.652618,128.102386,5074399603,SOL-USD
03-09-2021,128.389084,148.834183,128.389084,146.583054,7526373837,SOL-USD
04-09-2021,146.418411,150.428558,136.449554,139.113068,3970422964,SOL-USD
05-09-2021,138.990143,144.997864,135.079971,142.070877,2996918105,SOL-USD
06-09-2021,142.06282,165.878738,138.038208,164.38092,5774090688,SOL-USD
07-09-2021,164.183685,194.819702,133.10025,173.148926,17068643416,SOL-USD
08-09-2021,173.278564,197.989014,147.99118,191.041397,13187213606,SOL-USD
09-09-2021,209.470795,214.957184,181.445877,188.195801,12676272744,SOL-USD
10-09-2021,187.612808,196.94519,168.690826,179.865234,7087524572,SOL-USD
11-09-2021,179.366226,193.405609,175.565414,178.867874,5367389010,SOL-USD
12-09-2021,179.230164,181.568253,170.584595,174.537628,3012633094,SOL-USD
13-09-2021,174.418457,174.93187,150.974411,169.269547,6437530449,SOL-USD
14-09-2021,169.774521,171.301163,143.553116,158.094818,5799758794,SOL-USD
15-09-2021,158.415436,166.175293,154.239548,159.117386,3908939772,SOL-USD
16-09-2021,158.807281,163.122833,147.653275,152.47406,3215168472,SOL-USD
17-09-2021,152.35144,153.444931,135.245224,147.593063,4675731485,SOL-USD
18-09-2021,147.448761,171.142776,144.392258,169.184219,5415012910,SOL-USD
19-09-2021,169.226334,170.652115,151.250977,152.516693,3350530308,SOL-USD
20-09-2021,152.794479,153.387665,131.261032,132.13446,5623667250,SOL-USD
21-09-2021,132.762314,144.468445,116.343201,123.950394,5243953819,SOL-USD
22-09-2021,124.177452,150.941513,122.349159,147.924255,4952222859,SOL-USD
23-09-2021,148.055161,152.36499,143.201263,149.753571,3389212044,SOL-USD
24-09-2021,149.935471,151.201904,128.801315,139.395645,3852350632,SOL-USD
25-09-2021,139.296555,144.072556,134.107758,136.178925,2037106949,SOL-USD
26-09-2021,136.216156,140.781784,125.115425,135.699371,2674182809,SOL-USD
27-09-2021,135.931366,148.497833,133.984283,136.728424,2867246888,SOL-USD
28-09-2021,136.508911,139.294357,128.244827,131.537216,2422542861,SOL-USD
29-09-2021,132.338531,140.038177,131.233688,135.351456,2428105040,SOL-USD
30-09-2021,135.412903,142.853165,134.313263,141.069046,2244376110,SOL-USD
01-10-2021,141.382919,164.737549,138.436935,161.682373,4387488320,SOL-USD
02-10-2021,161.594391,174.900696,156.322342,169.093018,3471658582,SOL-USD
03-10-2021,169.113708,176.970337,166.070007,172.589157,3149579954,SOL-USD
04-10-2021,172.961624,172.961624,162.773331,166.731918,3109040100,SOL-USD
05-10-2021,166.994965,169.97937,160.593155,164.115829,2541087419,SOL-USD
06-10-2021,164.605194,165.361984,150.768372,154.107742,3259712887,SOL-USD
07-10-2021,153.961151,161.362991,150.542038,154.281189,2579187256,SOL-USD
08-10-2021,154.256546,168.846375,152.755768,158.949203,2781848650,SOL-USD
09-10-2021,158.704697,161.407318,154.869797,156.825836,1522023824,SOL-USD
10-10-2021,156.751923,158.361572,146.898239,148.048706,1556965341,SOL-USD
11-10-2021,147.800446,153.921143,140.363968,144.858139,1851795187,SOL-USD
12-10-2021,145.00766,153.263977,137.811569,152.737122,2853992440,SOL-USD
13-10-2021,152.523926,155.347992,144.407867,148.176041,2105226551,SOL-USD
14-10-2021,148.017273,155.329742,147.330933,149.756805,1948101208,SOL-USD
15-10-2021,150.0466,165.122208,146.984833,162.596207,3970589003,SOL-USD
16-10-2021,163.007034,164.713715,156.737564,157.538818,1531502795,SOL-USD
17-10-2021,157.463562,167.425995,154.090347,159.743805,2168838138,SOL-USD
18-10-2021,159.997482,162.856277,155.030228,157.231277,1698878759,SOL-USD
19-10-2021,157.210205,159.405869,153.221008,156.017029,1400902548,SOL-USD
20-10-2021,155.883392,176.440674,155.199844,175.946869,3315306825,SOL-USD
21-10-2021,176.765549,193.599152,176.765549,190.318436,6865815461,SOL-USD
22-10-2021,190.454895,214.044449,188.273621,196.431534,7486821306,SOL-USD
23-10-2021,196.300476,205.669876,192.562759,197.703857,3253670286,SOL-USD
24-10-2021,197.973114,204.719101,185.572433,202.361984,3413057378,SOL-USD
25-10-2021,202.316483,218.731888,198.202438,210.104294,4837376169,SOL-USD
26-10-2021,209.531647,213.982864,197.486649,199.807251,3194205752,SOL-USD
27-10-2021,199.874481,205.404739,178.730865,183.774597,4552692842,SOL-USD
28-10-2021,184.515701,201.045364,182.217529,194.863983,3463958628,SOL-USD
29-10-2021,194.906433,204.896606,194.906433,200.182755,2468703579,SOL-USD
30-10-2021,200.225723,200.38623,187.816574,195.416061,1732207667,SOL-USD
31-10-2021,195.773773,205.163376,186.062988,202.421021,2577364486,SOL-USD
01-11-2021,202.629211,211.36084,198.238968,203.54509,3157612663,SOL-USD
02-11-2021,203.517914,222.233032,201.180389,220.239594,3020087232,SOL-USD
03-11-2021,221.076752,246.321533,216.196198,242.898819,6024951132,SOL-USD
04-11-2021,243.097809,250.466339,235.150879,247.387772,4440296290,SOL-USD
05-11-2021,247.270935,248.383911,231.160812,236.474335,2752870913,SOL-USD
06-11-2021,236.492752,260.062103,235.289963,258.934326,3869779683,SOL-USD
07-11-2021,258.781555,258.850098,246.122421,249.823486,2624869522,SOL-USD
08-11-2021,249.979263,253.254181,241.140137,248.467178,3344410176,SOL-USD
09-11-2021,248.356842,253.179825,237.895294,239.213135,2819309492,SOL-USD
10-11-2021,239.133743,247.947037,218.38855,233.779526,3873202098,SOL-USD
11-11-2021,233.913986,246.447189,229.74852,234.240753,2693456862,SOL-USD
12-11-2021,233.721268,238.695679,221.252945,228.50209,3022054714,SOL-USD
13-11-2021,228.596252,241.825027,225.075928,241.825027,2322796265,SOL-USD
14-11-2021,241.862106,242.044891,230.689407,238.425522,1705211600,SOL-USD
15-11-2021,238.7314,245.976105,235.099106,237.553604,2414551003,SOL-USD
16-11-2021,238.497147,238.497147,215.442093,219.239029,3557977024,SOL-USD
17-11-2021,219.295639,222.028839,210.026947,218.71524,2982505239,SOL-USD
18-11-2021,218.87558,222.876938,187.673126,195.487411,3911214658,SOL-USD
19-11-2021,195.066284,219.367065,189.750168,215.280014,3431624914,SOL-USD
20-11-2021,215.406906,221.445343,206.285873,218.015274,2003638941,SOL-USD
21-11-2021,217.784027,235.230911,210.809738,231.282623,2636480460,SOL-USD
22-11-2021,230.989639,231.904816,212.03009,215.737274,3254258844,SOL-USD
23-11-2021,215.842957,226.061737,211.312225,221.836899,2328763768,SOL-USD
24-11-2021,221.860611,222.459274,200.502609,214.921539,2293934142,SOL-USD
25-11-2021,205.886169,216.400513,202.32341,206.252991,2586718627,SOL-USD
26-11-2021,210.048279,210.504578,184.328278,191.511749,3380122748,SOL-USD
27-11-2021,192.283569,199.36499,191.040543,193.102158,1443178833,SOL-USD
28-11-2021,193.275604,201.628708,182.372452,200.676651,2033215941,SOL-USD
29-11-2021,200.821274,212.445801,199.9543,204.319366,2110532147,SOL-USD
30-11-2021,204.232941,218.339386,200.084335,208.67099,2888387657,SOL-USD
01-12-2021,208.393158,232.386215,208.152267,229.79924,3532771294,SOL-USD
02-12-2021,229.854706,243.111664,220.387177,233.993042,4074103518,SOL-USD
