date,open,high,low,close,volume,Name
09-05-2021,1.563479,1.593415,1.444127,1.535293,8243079607,XRP-USD
10-05-2021,1.534407,1.625741,1.250003,1.389006,11181774844,XRP-USD
11-05-2021,1.391835,1.48686,1.363676,1.477682,7973181908,XRP-USD
12-05-2021,1.479136,1.542453,1.247864,1.247864,9272699846,XRP-USD
13-05-2021,1.271273,1.388924,1.209457,1.35891,12358993946,XRP-USD
14-05-2021,1.363347,1.442229,1.324545,1.402917,7570332417,XRP-USD
15-05-2021,1.401706,1.582478,1.324812,1.48588,13321419261,XRP-USD
16-05-2021,1.487457,1.607982,1.351516,1.452606,12405363634,XRP-USD
17-05-2021,1.449204,1.559325,1.328279,1.4963,13573485606,XRP-USD
18-05-2021,1.494104,1.702209,1.476959,1.590734,14847139298,XRP-USD
19-05-2021,1.59327,1.64438,0.875318,1.070313,20523476458,XRP-USD
20-05-2021,1.061533,1.268449,0.911814,1.185537,13626658452,XRP-USD
21-05-2021,1.181183,1.215926,0.869548,1.006976,10998911191,XRP-USD
22-05-2021,1.009577,1.015339,0.826446,0.906317,8750076614,XRP-USD
23-05-2021,0.906511,0.967346,0.652254,0.797015,10816054413,XRP-USD
24-05-2021,0.793162,0.998595,0.75859,0.992835,8239461926,XRP-USD
25-05-2021,0.99403,1.05784,0.883827,0.976187,8637179369,XRP-USD
26-05-2021,0.975831,1.066945,0.950104,1.033725,6376977398,XRP-USD
27-05-2021,1.033574,1.042896,0.935616,0.970235,5204084865,XRP-USD
28-05-2021,0.973952,0.98346,0.847571,0.900148,6082828979,XRP-USD
29-05-2021,0.899495,0.939792,0.79507,0.831788,5156278121,XRP-USD
30-05-2021,0.831994,0.930127,0.799825,0.906609,4077064725,XRP-USD
31-05-2021,0.906384,1.049022,0.882556,1.046584,6277821474,XRP-USD
01-06-2021,1.042102,1.099639,0.979337,1.011001,5606414479,XRP-USD
02-06-2021,1.011214,1.049746,0.981365,1.0244,3598008182,XRP-USD
03-06-2021,1.025146,1.078275,1.008549,1.045321,3661357809,XRP-USD
04-06-2021,1.045106,1.045271,0.920167,0.970196,4638523697,XRP-USD
05-06-2021,0.969979,0.997947,0.897529,0.923286,3257149049,XRP-USD
06-06-2021,0.923481,0.949532,0.91876,0.945286,2308242807,XRP-USD
07-06-2021,0.946718,0.974346,0.848982,0.861155,3466113432,XRP-USD
08-06-2021,0.862781,0.885498,0.788643,0.875788,4491339501,XRP-USD
09-06-2021,0.874058,0.920034,0.832331,0.920034,3990884688,XRP-USD
10-06-2021,0.921324,0.927827,0.853797,0.869182,3157272780,XRP-USD
11-06-2021,0.869247,0.879191,0.835943,0.84845,2502880892,XRP-USD
12-06-2021,0.847879,0.847879,0.807698,0.832683,2731548390,XRP-USD
13-06-2021,0.833252,0.888077,0.819273,0.88316,3059837086,XRP-USD
14-06-2021,0.883048,0.92611,0.863815,0.892897,3005221040,XRP-USD
15-06-2021,0.887069,0.902253,0.86029,0.8898,3585820721,XRP-USD
16-06-2021,0.866854,0.873375,0.827554,0.831908,2916163481,XRP-USD
17-06-2021,0.831733,0.861429,0.825875,0.841438,2684672890,XRP-USD
18-06-2021,0.842324,0.84492,0.774985,0.797648,2509639518,XRP-USD
19-06-2021,0.798306,0.806869,0.75871,0.761673,2208439278,XRP-USD
20-06-2021,0.760377,0.784295,0.699372,0.776377,3068578656,XRP-USD
21-06-2021,0.774795,0.77979,0.605175,0.610388,4048720475,XRP-USD
22-06-2021,0.607232,0.648919,0.51271,0.545067,4784173339,XRP-USD
23-06-2021,0.546944,0.660549,0.523663,0.626535,4239151745,XRP-USD
24-06-2021,0.63859,0.69101,0.617382,0.672,2781916002,XRP-USD
25-06-2021,0.672911,0.688469,0.603383,0.613323,3120943105,XRP-USD
26-06-2021,0.611586,0.631676,0.582415,0.615435,2458620798,XRP-USD
27-06-2021,0.616994,0.651772,0.597642,0.646923,2329301222,XRP-USD
28-06-2021,0.648285,0.654445,0.624551,0.643746,2323398761,XRP-USD
29-06-2021,0.643941,0.727726,0.642351,0.701725,3325816845,XRP-USD
30-06-2021,0.705681,0.713673,0.649456,0.706374,3097076849,XRP-USD
01-07-2021,0.704785,0.704785,0.646796,0.66118,2553971177,XRP-USD
02-07-2021,0.65989,0.667287,0.634726,0.656763,2061607208,XRP-USD
